headline,article,impact,duration
Surging demand for sku leads to price hike,In a bustling twist  tech savvy adventurers are lining up to purchase sku after a famous alchemist praised its quality. Expect prices to soar!,5,5
Guild endorses buying sku for upcoming quests,The Merchant Guild has recommended stockpiling sku in preparation for a rumored festival. Supply is sure to dwindle raising its value.,3,4
Innovative craftsmen utilize sku in new inventions,Artificers have discovered novel uses for sku  increasing its demand among tinkers and engineers throughout the realm.,4,6
Royal decree boosts trading of sku,A decree from the crown has waived tariffs on sku causing a surge in trade and speculation in the markets.,2,3
Goblins hoard sku causing a scarcity,Reports indicate goblin clans are gathering sku for unknown experiments leaving less for general sale; profit awaits those who buy early.,6,7
Wizard's tournament drives sku purchases,An upcoming wizard tournament requires contestants to prepare spells using sku driving traders to acquire more stock.,5,4
Discovery of new veins increases demand of sku,Miners have unearthed enchanted veins that require refining using sku pushing up demand among blacksmiths.,3,5
Inventors create magical devices using sku,Inventors unveiling steam‑powered contraptions built with sku components lead to increased market interest.,5,4
Foreign traders seek sku at high prices,Caravans from distant lands are paying premium for sku causing local prices to rise as stocks are exported.,7,6
Alchemical boom raises value of sku,A boom in alchemy has scholars purchasing large quantities of sku elevating its worth across marketplaces.,5,4
Oversupply of sku floods the market,A large shipment of sku has arrived unexpectedly leading to reduced prices as merchants compete to sell surplus stock.,-4,5
Imitation sku reduces demand,Cheap imitations of sku have appeared causing genuine sku to lose appeal and drop in price.,-3,4
Defective batch of sku causes distrust,A batch of defective sku has been circulating making buyers wary and pulling down prices temporarily.,-2,3
Harvest yields bountiful sku supply,Recent harvests have produced an abundance of sku leading to lower market prices due to oversupply.,-5,6
Regulation restricts use of sku,New safety regulations restrict usage of sku in manufacturing causing its market value to decrease.,-4,4
Adventurers return surplus sku from quests,Adventurers returning from expeditions have dumped large quantities of sku on the market pushing prices down.,-6,5
Technological substitute replaces sku,A cutting edge invention renders sku obsolete in certain applications reducing its demand across the realm.,-7,7
Cursed rumours deter purchase of sku,Rumours that sku are cursed have scared many potential buyers leading to a noticeable price decline.,-3,3
Supply convoy arrives with cheap sku,A convoy of airships from beyond the seas has arrived with cheap sku flooding the market and cutting prices.,-5,4
Trade embargo reduces need for sku,An embargo on key trading partners has decreased industrial need for sku shrinking its market value.,-2,5
